,fullName,name,parkCode,designation,states,url
58,Death Valley National Park,Death Valley,deva,National Park,"CA,NV",https://www.nps.gov/deva/index.htm
59,Dinosaur National Monument,Dinosaur,dino,National Monument,"CO,UT",https://www.nps.gov/dino/index.htm
60,Dry Tortugas National Park,Dry Tortugas,drto,National Park,FL,https://www.nps.gov/drto/index.htm
61,Ebey's Landing National Historical Reserve,Ebey's Landing,ebla,National Historical Reserve,WA,https://www.nps.gov/ebla/index.htm
62,El Malpais National Monument,El Malpais,elma,National Monument,NM,https://www.nps.gov/elma/index.htm
63,El Morro National Monument,El Morro,elmo,National Monument,NM,https://www.nps.gov/elmo/index.htm
64,Everglades National Park,Everglades,ever,National Park,FL,https://www.nps.gov/ever/index.htm
65,Fire Island National Seashore,Fire Island,fiis,National Seashore,NY,https://www.nps.gov/fiis/index.htm
66,Gates Of The Arctic National Park & Preserve,Gates Of The Arctic,gaar,National Park & Preserve,AK,https://www.nps.gov/gaar/index.htm
67,Gauley River National Recreation Area,Gauley River,gari,National Recreation Area,WV,https://www.nps.gov/gari/index.htm
68,Gateway National Recreation Area,Gateway,gate,National Recreation Area,"NY,NJ",https://www.nps.gov/gate/index.htm
69,Gettysburg National Military Park,Gettysburg,gett,National Military Park,PA,https://www.nps.gov/gett/index.htm
70,Glacier National Park,Glacier,glac,National Park,MT,https://www.nps.gov/glac/index.htm
71,Glacier Bay National Park & Preserve,Glacier Bay,glba,National Park & Preserve,AK,https://www.nps.gov/glba/index.htm
72,Glen Canyon National Recreation Area,Glen Canyon,glca,National Recreation Area,"AZ,UT",https://www.nps.gov/glca/index.htm
73,Golden Gate National Recreation Area,Golden Gate,goga,National Recreation Area,CA,https://www.nps.gov/goga/index.htm
74,Great Basin National Park,Great Basin,grba,National Park,NV,https://www.nps.gov/grba/index.htm
